Task,Variant,Group,Tool,File1,File2,Score
T1_WordCount,_O3,gemini,sdhash,4_O3,5_O3,020
T1_WordCount,_O3,gemini,sdhash,2_O3,1_O3,019
T1_WordCount,_O3,gemini,sdhash,3_O3,4_O3,014
T1_WordCount,_O3,gemini,sdhash,2_O3,3_O3,009
T1_WordCount,_O3,gemini,sdhash,3_O3,5_O3,024
T1_WordCount,_O3,gemini,sdhash,2_O3,4_O3,021
T1_WordCount,_O3,gemini,sdhash,2_O3,5_O3,014
T1_WordCount,_O3,gemini,sdhash,1_O3,3_O3,018
T1_WordCount,_O3,gemini,sdhash,1_O3,4_O3,040
T1_WordCount,_O3,gemini,sdhash,1_O3,5_O3,027
T1_WordCount,_O3,gemini,radiff2,1_O3,2_O3,0.963
T1_WordCount,_O3,gemini,radiff2,1_O3,3_O3,0.944
T1_WordCount,_O3,gemini,radiff2,1_O3,4_O3,0.962
T1_WordCount,_O3,gemini,radiff2,1_O3,5_O3,0.956
T1_WordCount,_O3,gemini,radiff2,2_O3,3_O3,0.931
T1_WordCount,_O3,gemini,radiff2,2_O3,4_O3,0.952
T1_WordCount,_O3,gemini,radiff2,2_O3,5_O3,0.943
T1_WordCount,_O3,gemini,radiff2,3_O3,4_O3,0.943
T1_WordCount,_O3,gemini,radiff2,3_O3,5_O3,0.955
T1_WordCount,_O3,gemini,radiff2,4_O3,5_O3,0.968
T1_WordCount,_O3,gpt5,ssdeep,1_O3,2_O3,0
T1_WordCount,_O3,gpt5,ssdeep,1_O3,3_O3,0
T1_WordCount,_O3,gpt5,ssdeep,1_O3,4_O3,0
T1_WordCount,_O3,gpt5,ssdeep,1_O3,5_O3,0
T1_WordCount,_O3,gpt5,ssdeep,2_O3,3_O3,0
T1_WordCount,_O3,gpt5,ssdeep,2_O3,4_O3,0
T1_WordCount,_O3,gpt5,ssdeep,2_O3,5_O3,0
T1_WordCount,_O3,gpt5,ssdeep,3_O3,4_O3,63
T1_WordCount,_O3,gpt5,ssdeep,3_O3,5_O3,0
T1_WordCount,_O3,gpt5,ssdeep,4_O3,5_O3,0
T1_WordCount,_O3,gpt5,sdhash,3_O3,4_O3,073
T1_WordCount,_O3,gpt5,sdhash,2_O3,1_O3,017
T1_WordCount,_O3,gpt5,sdhash,1_O3,5_O3,014
T1_WordCount,_O3,gpt5,sdhash,3_O3,2_O3,017
T1_WordCount,_O3,gpt5,sdhash,2_O3,5_O3,018
T1_WordCount,_O3,gpt5,sdhash,3_O3,1_O3,016
T1_WordCount,_O3,gpt5,sdhash,3_O3,5_O3,019
T1_WordCount,_O3,gpt5,sdhash,4_O3,2_O3,017
T1_WordCount,_O3,gpt5,sdhash,4_O3,1_O3,018
T1_WordCount,_O3,gpt5,sdhash,4_O3,5_O3,016
T1_WordCount,_O3,gpt5,radiff2,1_O3,2_O3,0.92
T1_WordCount,_O3,gpt5,radiff2,1_O3,3_O3,0.956
T1_WordCount,_O3,gpt5,radiff2,1_O3,4_O3,0.951
T1_WordCount,_O3,gpt5,radiff2,1_O3,5_O3,0.939
T1_WordCount,_O3,gpt5,radiff2,2_O3,3_O3,0.931
T1_WordCount,_O3,gpt5,radiff2,2_O3,4_O3,0.935
T1_WordCount,_O3,gpt5,radiff2,2_O3,5_O3,0.948
T1_WordCount,_O3,gpt5,radiff2,3_O3,4_O3,0.982
T1_WordCount,_O3,gpt5,radiff2,3_O3,5_O3,0.958
T1_WordCount,_O3,gpt5,radiff2,4_O3,5_O3,0.957
T1_WordCount,_cff,human,ssdeep,1_cff,2_cff,0
T1_WordCount,_cff,human,ssdeep,1_cff,3_cff,0
T1_WordCount,_cff,human,ssdeep,1_cff,4_cff,0
T1_WordCount,_cff,human,ssdeep,1_cff,5_cff,0
T1_WordCount,_cff,human,ssdeep,2_cff,3_cff,0
T1_WordCount,_cff,human,ssdeep,2_cff,4_cff,0
T1_WordCount,_cff,human,ssdeep,2_cff,5_cff,0
T1_WordCount,_cff,human,ssdeep,3_cff,4_cff,0
T1_WordCount,_cff,human,ssdeep,3_cff,5_cff,0
T1_WordCount,_cff,human,ssdeep,4_cff,5_cff,0
T1_WordCount,_cff,human,sdhash,3_cff,1_cff,008
T1_WordCount,_cff,human,sdhash,3_cff,2_cff,011
T1_WordCount,_cff,human,sdhash,1_cff,4_cff,010
T1_WordCount,_cff,human,sdhash,1_cff,2_cff,006
T1_WordCount,_cff,human,sdhash,1_cff,5_cff,008
T1_WordCount,_cff,human,radiff2,1_cff,2_cff,0.784
T1_WordCount,_cff,human,radiff2,1_cff,3_cff,0.791
